Name,Distributor,Opening,Budget,Release Date,Running Time,Genres,Widest Release
Crawl,Paramount Pictures,120052103170,13500000,Jul 12  2019  Sep 5  2019,1 hr 27 min,Drama,3170 theaters
Little Women,Sony Pictures Releasing,167553103308,40000000,Dec 25  2019,2 hr 15 min,Drama,3308 theaters
The Intruder,Screen Gems,108550542222,8000000,May 3  2019  Jun 27  2019,1 hr 42 min,Drama,2231 theaters
The Hustle,United Artists Releasing,130077093007,0,May 10  2019  Jul 11  2019,1 hr 33 min,Comedy,3077 theaters
Last Christmas,Universal Pictures,114410553448,25000000,Nov 8  2019  Jan 2  2020,1 hr 43 min,Comedy,3454 theaters
Overcomer,Affirm Films,81465331723,5000000,Aug 23  2019  Dec 5  2019,1 hr 59 min,Drama,2293 theaters
Cold Pursuit,Lionsgate,110302332630,0,Feb 8  2019  Apr 18  2019,1 hr 59 min,Action,2630 theaters
Doctor Sleep,Warner Bros.,141141243855,0,Nov 8  2019  Jan 9  2020,2 hr 32 min,Drama,3855 theaters
Dragon Ball Super: Broly,FUNimation Entertainment,98161971238,0,Jan 16  2019  Feb 20  2019,1 hr 40 min,Action,1267 theaters
Long Shot,Lionsgate,97400643230,0,May 3  2019  Jun 20  2019,2 hr 5 min,Comedy,3230 theaters
Spies in Disguise,Twentieth Century Fox,133547983502,0,Dec 25  2019,1 hr 42 min,Action,3502 theaters
Child's Play,United Artists Releasing,140945943007,10000000,Jun 21  2019  Aug 8  2019,1 hr 30 min,Horror,3007 theaters
Ready or Not,Fox Searchlight Pictures,80155902855,6000000,Aug 21  2019  Oct 24  2019,1 hr 35 min,Comedy,2998 theaters
Happy Death Day 2U,Universal Pictures,94976653207,9000000,Feb 13  2019  Apr 4  2019,1 hr 40 min,Comedy,3212 theaters
Vice,Annapurna Pictures,77683712442,0,Dec 25  2018  Apr 11  2019,2 hr 12 min,Biography,2534 theaters
21 Bridges,STX Entertainment,92612682665,33000000,Nov 22  2019  Jan 23  2020,1 hr 39 min,Action,2665 theaters
Midsommar,A24,65600302707,0,Jul 3  2019,2 hr 28 min,Drama,2707 theaters
Bohemian Rhapsody,Twentieth Century Fox,510611194000,52000000,Nov 2  2018  Apr 25  2019,2 hr 14 min,Biography,4000 theaters
The Art of Racing in the Rain,Twentieth Century Fox,81375842765,0,Aug 9  2019  Oct 24  2019,1 hr 49 min,Comedy,2765 theaters
Countdown,STX Entertainment,88650822675,6500000,Oct 25  2019  Jan 9  2020,1 hr 30 min,Horror,2675 theaters
Uncut Gems,A24,5372425,0,No release date,2 hr 15 min,Crime,2686 theaters
Judy,Roadside Attractions,2916548461,0,No release date,1 hr 58 min,Biography,1627 theaters
Ralph Breaks the Internet,Walt Disney Studios Motion Pictures,562376344017,175000000,Nov 21  2018  Apr 11  2019,1 hr 52 min,Adventure,4017 theaters
Fighting with My Family,Metro-Goldwyn-Mayer (MGM),1387804,0,No release date,1 hr 48 min,Biography,2855 theaters
On the Basis of Sex,Focus Features,68635533,0,No release date,2 hr,Biography,1957 theaters
A Dog's Journey,Universal Pictures,80300853267,0,May 17  2019  Jul 18  2019,1 hr 49 min,Comedy,3279 theaters
Booksmart,United Artists Releasing,69336202505,0,May 24  2019  Aug 8  2019,1 hr 42 min,Comedy,2518 theaters
Parasite,Neon,3932163,0,No release date,2 hr 12 min,Comedy,2001 theaters
Stuber,Twentieth Century Fox,82253843050,0,Jul 12  2019  Aug 29  2019,1 hr 33 min,Action,3050 theaters
47 Meters Down: Uncaged,Entertainment Studios Motion Pictures,84272652853,12000000,Aug 16  2019,1 hr 30 min,Adventure,2883 theaters
Black and Blue,Screen Gems,83768462062,12000000,Oct 25  2019  Jan 2  2020,1 hr 48 min,Action,2062 theaters
Hellboy,Lionsgate,120451473303,50000000,Apr 12  2019  May 16  2019,2 hr,Action,3303 theaters
Shaft,Warner Bros.,89014192952,0,Jun 14  2019  Aug 15  2019,1 hr 51 min,Action,2952 theaters
Jojo Rabbit,Fox Searchlight Pictures,3495555,0,No release date,1 hr 48 min,Comedy,1173 theaters
The Peanut Butter Falcon,Roadside Attractions,20479317,0,No release date,1 hr 37 min,Adventure,1490 theaters
UglyDolls,STX Entertainment,86034073652,0,May 3  2019  Jul 4  2019,1 hr 27 min,Adventure,3652 theaters
Cats,Universal Pictures,66198703380,95000000,Dec 20  2019  Feb 13  2020,1 hr 50 min,Comedy,3380 theaters
Unplanned,Pure Flix Entertainment,63822981059,6000000,Mar 29  2019,1 hr 49 min,Biography,1516 theaters
