budget,genres,id,original_title,popularity,production_companies,release_date,revenue,runtime,title,vote_average,vote_count
11000000.0,['Comedy'],445629.0,Fighting with My Family,16.457,"['WWE Studios', 'Misher Films', 'Seven Bucks Productions', 'Film4 Productions', 'The Ink Factory', 'Metro-Goldwyn-Mayer', 'Channel 4 Television Corporation']",2019,39055536.0,108.0,Fighting with My Family,6.7,712.0
0.0,"['Animation', 'Romance']",486589.0,Red Shoes,36.056,"['Sidus', 'Next Entertainment World', 'Locus Creative Studios']",2019,5362776.0,92.0,Red Shoes,6.4,106.0
40000000.0,"['Action', 'Science Fiction']",240832.0,Lucy,16.574,"['EuropaCorp', 'Canal+', 'Ciné+', 'TF1 Films Production']",2014,126546825.0,89.0,Lucy,6.3,10990.0
75000000.0,"['Mystery', 'Thriller', 'Crime']",11456.0,Domestic Disturbance,10.559,['Paramount'],2001,54249294.0,89.0,Domestic Disturbance,5.6,209.0
10000000.0,"['Drama', 'Romance']",330947.0,Song to Song,12.327,"['FilmNation Entertainment', 'Buckeye Pictures', 'Broad Green Pictures']",2017,1710528.0,129.0,Song to Song,5.4,530.0
0.0,"['Comedy', 'Romance']",11467.0,America's Sweethearts,10.878,"['Columbia Pictures', 'Revolution Studios', 'Roth-Arnold Productions']",2001,138191428.0,102.0,America's Sweethearts,5.7,499.0
20000000.0,"['Thriller', 'Crime', 'Drama']",68812.0,The Iceman,14.172,"['Bleiberg Entertainment', 'Millennium Films']",2012,1969193.0,105.0,The Iceman,6.5,619.0
18000000.0,"['Crime', 'Drama', 'Mystery', 'Thriller']",11468.0,The Salton Sea,7.854,"['Humble Journey Films', 'Castle Rock Entertainment', 'Darkwoods Productions']",2002,676698.0,103.0,The Salton Sea,6.7,184.0
50000000.0,"['Adventure', 'Comedy', 'Fantasy']",11469.0,Black Knight,13.343,"['Epsilon Motion Pictures', 'Regency Enterprises', 'New Regency Pictures', 'Runteldat Entertainment', 'Firm, The', '20th Century Fox']",2001,33422806.0,95.0,Black Knight,5.3,641.0
11000000.0,"['Horror', 'Science Fiction']",11470.0,Jason X,11.791,"['New Line Cinema', 'Crystal Lake Entertainment', 'Sean S. Cunningham Films']",2001,16951798.0,91.0,Jason X,4.6,639.0
0.0,"['Adventure', 'Action', 'Western']",68818.0,Blackthorn,7.442,"['Audiovisual Aval SGR', 'Quickfire Films', 'Arcadia Motion Pictures', 'Noodles Production', 'Canal+ España', 'Instituto de la Cinematografía y de las Artes Audiovisuales', 'ONO', 'Ariane Mararía Films', 'Nix Films', 'Eter Pictures', 'Manto Films', 'Pegaso Producciones', 'Ibermedia European Community Program', 'Instituto de Crédito Oficial (ICO)', 'Televisión Española']",2011,623528.0,98.0,Blackthorn,6.6,125.0
34000000.0,['Science Fiction'],445651.0,The Darkest Minds,13.581,"['21 Laps Entertainment', '20th Century Fox']",2018,41142379.0,105.0,The Darkest Minds,6.8,1498.0
0.0,"['Adventure', 'Comedy', 'Crime']",117974.0,Sightseers,5.115,"['Big Talk Productions', 'StudioCanal', 'British Film Institute', 'Film4 Productions']",2012,61782.0,88.0,Sightseers,6.4,290.0
7000000.0,"['Crime', 'Drama', 'Thriller']",77016.0,End of Watch,12.582,"['5150 Action', 'Emmett/Furla Films', 'Exclusive Media', 'Hedge Fund Film Partners', 'Crave Films', 'Knightsbridge Entertainment', 'Le Grisbi Productions']",2012,48126384.0,109.0,End of Watch,7.3,1965.0
50000000.0,"['Action', 'Thriller']",216282.0,Into the Storm,14.518,"['RatPac-Dune Entertainment', 'New Line Cinema', 'Village Roadshow Pictures', 'Broken Road Productions']",2014,160602194.0,89.0,Into the Storm,5.9,1295.0
75000000.0,"['Adventure', 'Action', 'Thriller']",52451.0,The Three Musketeers,14.406,"['Studio Babelsberg', 'Constantin Film', 'Impact Pictures', 'Nouvelles Éditions de Films (NEF)', 'New Legacy']",2011,132274484.0,110.0,The Three Musketeers,5.8,1772.0
