,budget,genres,id,imdb_id,original_language,original_title,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,title,vote_average,vote_count
5146,0.0,"['Action', 'Adventure', 'Science Fiction', 'Comedy']",447365.0,tt6791350,en,Guardians of the Galaxy Vol. 3,9.29,['Marvel Studios'],['US'],2023-02-16,0.0,98.0,['en'],Planned,Guardians of the Galaxy Vol. 3,0.0,0.0
5153,0.0,"['Comedy', 'Music']",611213.0,tt10161886,en,The Prom,9.881,['Ryan Murphy Productions'],['US'],2020-10-23,0.0,98.0,['en'],In Production,The Prom,0.0,0.0
5333,0.0,"['Action', 'Crime', 'Drama', 'Mystery']",414906.0,tt1877830,en,The Batman,9.825,"['DC Entertainment', 'Warner Bros. Pictures', 'DC Comics', 'DC Films', '6th & Idaho']",['US'],2021-06-23,0.0,98.0,['en'],In Production,The Batman,0.0,0.0
5336,0.0,['Crime'],505026.0,tt7657566,en,Death on the Nile,4.9030000000000005,['20th Century Studios'],['US'],2020-10-07,0.0,98.0,['en'],In Production,Death on the Nile,0.0,0.0
5339,0.0,"['Horror', 'Mystery', 'Thriller']",423108.0,tt7069210,en,The Conjuring: The Devil Made Me Do It,8.506,"['New Line Cinema', 'The Safran Company', 'Atomic Monster', 'Warner Bros. Television']",['US'],2020-09-10,0.0,98.0,['en'],Post Production,The Conjuring: The Devil Made Me Do It,0.0,0.0
5345,0.0,"['Comedy', 'Drama']",595148.0,tt9076562,en,Irresistible,8.081,"['Focus Features', 'Plan B Entertainment']",['US'],2020-05-29,0.0,98.0,['en'],Post Production,Irresistible,0.0,0.0
5375,0.0,['Horror'],619778.0,tt3811906,en,Malignant,6.067,"['Warner Bros. Pictures', 'New Line Cinema', 'Starlight International Media', 'Midas Innovation', 'Atomic Monster']",['US'],2020-08-12,0.0,98.0,['en'],In Production,Malignant,0.0,0.0
5380,0.0,"['Horror', 'Mystery', 'Thriller']",595215.0,tt10160976,en,Untitled The Nun Sequel,6.904,"['Atomic Monster', 'New Line Cinema', 'The Safran Company', 'Warner Bros. Pictures']",['US'],2021-12-31,0.0,98.0,"['es', 'en']",Planned,Untitled The Nun Sequel,0.0,0.0
5464,0.0,['Thriller'],619979.0,tt2180339,en,Deep Water,5.97,"['New Regency Pictures', 'Entertainment 360', '20th Century Studios']",['US'],2020-11-11,0.0,98.0,['en'],In Production,Deep Water,0.0,0.0
5640,0.0,"['Comedy', 'Drama', 'Romance']",382748.0,tt4858674,en,Stargirl,7.324,"['BCDF Pictures', 'Gotham Group', 'Hahnscape Entertainment', 'Walt Disney Pictures']",['US'],2020-03-13,0.0,98.0,['en'],Post Production,Stargirl,0.0,0.0
5782,0.0,"['Action', 'Thriller', 'Adventure']",497698.0,tt3480822,en,Black Widow,17.407,['Marvel Studios'],"['HU', 'NO', 'GB', 'US']",2020-04-24,0.0,98.0,"['en', 'ru']",Post Production,Black Widow,0.0,0.0
5851,0.0,"['Action', 'Fantasy']",547016.0,tt7556122,en,The Old Guard,7.624,"['Skydance Media', 'Denver and Delilah Productions']",['US'],2020-12-31,0.0,98.0,['en'],Post Production,The Old Guard,0.0,0.0
5926,0.0,"['Comedy', 'Romance', 'Drama']",661881.0,tt9636630,en,Home Sweet Home,6.175,[],['US'],2020-05-01,0.0,98.0,['en'],In Production,Home Sweet Home,0.0,0.0
6141,0.0,['Fantasy'],531219.0,tt0805647,en,The Witches,4.23,"['ImageMovers', 'Warner Bros. Pictures']",['US'],2020-10-08,0.0,98.0,['en'],Post Production,The Witches,0.0,0.0
6152,15000000.0,"['Action', 'Thriller', 'Horror']",514847.0,tt8244784,en,The Hunt,14.323,"['Blumhouse Productions', 'White Rabbit', 'Universal Pictures']",['US'],2020-03-13,0.0,115.0,['en'],Post Production,The Hunt,0.0,0.0
6359,0.0,"['Adventure', 'Action', 'Science Fiction']",507086.0,tt8041270,en,Jurassic World: Dominion,5.579,"['Amblin Entertainment', 'Universal Pictures']",['US'],2021-06-09,0.0,98.0,['en'],In Production,Jurassic World: Dominion,0.0,0.0
6416,0.0,[],621880.0,tt9598224,en,29 Dates,6.865,"['Walt Disney Pictures', 'Gotham Group']",['US'],2021-12-31,0.0,98.0,['en'],Planned,29 Dates,0.0,0.0
6442,0.0,"['Action', 'Thriller', 'Horror']",523638.0,tt6372694,en,Prisoners of the Ghostland,7.298999999999999,"['Black Light District', 'Eleven Arts', 'Untitled Entertainment', 'XYZ Films']","['JP', 'US']",2020-12-31,0.0,98.0,['en'],Post Production,Prisoners of the Ghostland,0.0,0.0
6637,60000000.0,"['Fantasy', 'Action', 'Adventure']",458576.0,tt6475714,en,Monster Hunter,7.206,[],[],2020-09-03,0.0,98.0,['en'],In Production,Monster Hunter,0.0,0.0
6705,0.0,"['Science Fiction', 'Comedy']",425909.0,tt4513678,en,Ghostbusters: Afterlife,7.667999999999998,"['Sony Pictures', 'The Montecito Picture Company']",['US'],2020-07-02,0.0,98.0,['en'],Post Production,Ghostbusters: Afterlife,0.0,0.0
6706,0.0,"['Drama', 'History']",556984.0,tt1070874,en,The Trial of the Chicago 7,6.435,"['Amblin Entertainment', 'Paramount', 'Cross Creek Pictures', 'ShivHans Pictures']",['US'],2020-09-25,0.0,98.0,['en'],Post Production,The Trial of the Chicago 7,0.0,0.0
