,Name,Distributor,Opening,Budget,Release Date,Running Time,Genres,Widest Release
87,The Good Liar,Warner Bros.,"$5,605,0512,439","$10,000,000","['Nov 15, 2019', 'Jan 16, 2020']",1 hr 49 min,"['Crime', 'Drama', 'Mystery', 'Thriller']","2,454 theaters"
88,Love Story,Fathom Events,"$87,198650",,"['Feb 9, 2020']",1 hr 40 min,"['Drama', 'Romance']",650 theaters
89,Beanpole,Kino Lorber,"$10,0081",,"['Jan 29, 2020']",2 hr 10 min,"['Drama', 'War']",34 theaters
90,No Safe Spaces,Atlas Distribution Company,"$45,2361",,"['Oct 25, 2019', 'Nov 10, 2019']",1 hr 40 min,['Documentary'],200 theaters
91,And Then We Danced,Music Box Films,"$13,8802",,"['Feb 7, 2020']",1 hr 53 min,"['Drama', 'Romance']",20 theaters
92,Incitement,Greenwich Entertainment,"$22,4372",,"['Jan 31, 2020']",2 hr 3 min,['Thriller'],21 theaters
93,Invisible Life,Amazon Studios,"$8,1272",,"['Dec 20, 2019']",2 hr 19 min,['Drama'],18 theaters
94,The Man Standing Next,Capelight Pictures,"$16,5142",,"['Jan 24, 2020']",1 hr 54 min,"['History', 'Thriller']",22 theaters
95,Citizen K,Greenwich Entertainment,"$10,5711",,"['Nov 22, 2019']",2 hr 6 min,['Documentary'],15 theaters
96,The Times of Bill Cunningham,Greenwich Entertainment,"$41,9452",,"['Feb 14, 2020']",1 hr 14 min,['Documentary'],10 theaters
97,Come to Daddy,Saban Films,"$57,99829",,"['Feb 7, 2020']",1 hr 36 min,"['Comedy', 'Thriller']",29 theaters
98,The Lighthouse,A24,"$427,7978",,,1 hr 49 min,"['Drama', 'Fantasy', 'Horror', 'Mystery']",978 theaters
99,First Lady,ArtAffects Entertainment,"$56,74768",,"['Feb 14, 2020']",1 hr 41 min,"['Comedy', 'Romance']",68 theaters
100,Honeyland,Neon,"$31,3812",,"['Jul 26, 2019']",1 hr 29 min,"['Documentary', 'Drama']",56 theaters
101,The Woman Who Loves Giraffes,Zeitgeist Films,"$1,8102",,"['Oct 4, 2019']",2 hr 3 min,['Documentary'],22 theaters
