Name,Distributor,Opening,Budget,Release Date,Running Time,Genres,Widest Release
Raise Hell: The Life & Times of Molly Ivins,Magnolia Pictures,9450418,0,Aug,1 hr 33 min,Documentary,42
Master Z: The Ip Man Legacy,Well Go USA Entertainment,9266361,0,Apr,1 hr 47 min,Action,61
Maria By Callas,Sony Pictures Classics,9191516,0,Nov,1 hr 59 min,Biography,149
Jane and Emma,Excel Entertainment,8451221,0,Oct,1 hr 30 min,Drama,29
"The Gangster, the Cop, the Devil",Well Go USA Entertainment,7865521,0,Jun,1 hr 49 min,Action,21
Asbury Park: Riot Redemption Rock 'n Roll,Trafalgar Releasing,7437205,0,May,1 hr 56 min,Documentary,270
A Cool Fish,China Lion Film Distribution,7118715,0,Nov,1 hr 49 min,Comedy,36
Mine 9,Emphatic Cinema/Levey,6892123,0,Apr,1 hr 23 min,Drama,29
Peppa Celebrates Chinese New Year,STX Entertainment,6691367,0,Feb,1 hr 21 min,Animation,67
Out of Liberty,Purdie Distribution,6654635,0,Sep,1 hr 51 min,Drama,36
Matthias & Maxime,Entertainment One,6498850,0,Oct,1 hr 59 min,Drama,53
Mirai,GKIDS,6332569,0,Nov,1 hr 38 min,Adventure,780
Chasing the Dragon II: Wild Wild Bunch,Well Go USA Entertainment,6097116,0,Jun,1 hr 41 min,Action,16
Everybody's Everything,Gunpowder & Sky,6058229,0,Nov,1 hr 56 min,Documentary,121
The Fighting Preacher,Purdie Distribution,6022328,0,Jul,1 hr 40 min,Comedy,37
Sonchiriya,PackYourBag Films,6017070,0,Mar,2 hr 23 min,Action,70
La femme de mon frère,Entertainment One,5943816,0,Jun,1 hr 57 min,Drama,30
Little Woods,Neon,5761033,0,Apr,1 hr 45 min,Crime,33
The River and the Wall,Gravitas Ventures,5750457,0,May,1 hr 37 min,Adventure,57
"Faith, Hope & Love",ArtAffects Entertainment,5540318,0,Mar,1 hr 46 min,Comedy,18
Lucy in the Sky,Fox Searchlight Pictures,5405837,0,Oct,2 hr 4 min,Drama,231
Uncut Gems,A24,5372425,0,No,2 hr 15 min,Crime,2686
Mojin: The Worm Valley,Well Go USA Entertainment,5058317,0,Jan,1 hr 50 min,Action,17
Tel Aviv on Fire,Cohen Media Group,4754511,0,Aug,1 hr 40 min,Comedy,37
Junglee,Viva Pictures Distribution,4708970,0,Mar,1 hr 55 min,Action,70
Always Miss You,China Lion Film Distribution,4672014,0,May,1 hr 38 min,Romance,14
Storm Boy,Good Deed Entertainment,4667656,0,Apr,1 hr 39 min,Adventure,56
Mary Magdalene,IFC Films,4664662,0,Apr,2 hr,Biography,62
The Body,Eros International,4599678,0,Dec,1 hr 41 min,Mystery,78
Bad Guys: The Movie,CJ Entertainment,4523311,0,Sep,1 hr 54 min,Action,11
Swing Kids,Well Go USA Entertainment,4395215,0,Dec,2 hr 13 min,Drama,21
The Divine Fury,Well Go USA Entertainment,4386323,0,Aug,2 hr 9 min,Action,23
The Lighthouse,A24,4277978,0,No,1 hr 49 min,Drama,978
The Favourite,Fox Searchlight Pictures,4224104,0,No,1 hr 59 min,Biography,1554
Tazza: One-Eyed Jack,Well Go USA Entertainment,4113922,0,Sep,2 hr 19 min,Crime,22
The Crossing,CMC Pictures,4024328,0,Mar,1 hr 39 min,Drama,28
The Song of Names,Sony Pictures Classics,3945210,0,Dec,1 hr 53 min,Drama,182
Parasite,Neon,3932163,0,No,2 hr 12 min,Comedy,2001
Saint Judy,Blue Fox Entertainment,3927555,0,Mar,1 hr 46 min,Biography,55
Clinton Road,Nocturnal Features,3888010,0,Jun,1 hr 17 min,Horror,10
The Cure: Anniversary 1978-2018 Live in Hyde Park,Trafalgar Releasing,3876183,0,Jul,2 hr 17 min,Documentary,346
"Belle and Sebastian, Friends for Life",Entertainment One,3801738,0,Jan,1 hr 31 min,Adventure,38
Fast Colour,Lionsgate,3759425,0,Apr,1 hr 40 min,Drama,25
My Dear Liar,CMC Pictures Holdings,3678729,0,Nov,1 hr 56 min,Drama,29
Savage,Well Go USA Entertainment,3659019,0,May,1 hr 52 min,Action,19
Looking Up,China Lion Film Distribution,3654113,0,Jul,2 hr 27 min,Drama,13
Photograph,Amazon Studios,3579613,0,May,1 hr 50 min,Drama,123
The Farewell,A24,3556624,0,No,1 hr 40 min,Comedy,891
Airpocalypse,China Lion Film Distribution,3536321,0,Dec,1 hr 45 min,Action,21
Joni 75: A Birthday Celebration,Trafalgar Releasing,3511159,0,Feb,2 hr 8 min,Music,405
Jojo Rabbit,Fox Searchlight Pictures,3495555,0,No,1 hr 48 min,Comedy,1173
Branagh Theatre Live: The Winter's Tale,Trafalgar Releasing,3438092,0,Dec,3 hr,Drama,106
The House That Jack Built,IFC Films,3427332,0,Dec,2 hr 32 min,Crime,32
The Death and Life of John F. Donovan,Entertainment One,3334025,0,Aug,2 hr 3 min,Drama,25
Bombshell,Lionsgate,3191574,0,No,1 hr 49 min,Biography,1721
Honey Boy,Amazon Studios,3010654,0,Nov,1 hr 34 min,Drama,460
Free Solo,National Geographic Entertainment,2942884,0,Sep,1 hr 40 min,Adventure,483
Avant qu'on explose,Entertainment One,2840235,0,Mar,1 hr 48 min,Comedy,35
Loopers: The Caddie's Long Walk,Gravitas Ventures,2825368,0,Jun,1 hr 20 min,Documentary,68
Wrinkles the Clown,Magnolia Pictures,2824821,0,Oct,1 hr 15 min,Comedy,21
The Death of Dick Long,A24,2663030,0,Sep,1 hr 40 min,Comedy,30
Fagara,China Lion Film Distribution,2520613,0,Sep,1 hr 58 min,Comedy,13
Late Night,Amazon Studios,2463054,0,No,1 hr 42 min,Comedy,2220
The Last Black Man in San Francisco,A24,2352727,0,Jun,2 hr 1 min,Drama,207
Penguin Highway,Eleven Arts,2283384,0,Apr,1 hr 57 min,Adventure,168
If Beale Street Could Talk,Annapurna Pictures,2244764,0,No,1 hr 59 min,Drama,1018
Ophelia,IFC Films,2214558,0,Jun,1 hr 54 min,Drama,58
Yardie,Rialto Pictures,2205677,0,Mar,1 hr 41 min,Crime,77
Beautiful Boy,Amazon Studios,2188884,0,No,2 hr,Biography,776
Wicked Witches,Nocturnal Features,2160010,0,Aug,1 hr 19 min,Horror,10
The Bounty Killer,Indican Pictures,2080515,0,Jan,1 hr 27 min,Action,15
Boy Erased,Focus Features,2070575,0,No,1 hr 55 min,Biography,672
Charlie Says,IFC Films,2068438,0,May,1 hr 50 min,Biography,38
Immortal Hero,Freestyle Releasing,2062912,0,Oct,1 hr 58 min,Drama,12
Mary Queen of Scots,Focus Features,1947774,0,No,2 hr 4 min,Biography,1052
Aniara,Magnolia Pictures,1929719,0,May,1 hr 46 min,Drama,19
Shed of the Dead,Indican Pictures,1896010,0,May,1 hr 22 min,Comedy,10
Divide and Conquer: The Story of Roger Ailes,Magnolia Pictures,1883315,0,Dec,1 hr 47 min,Documentary,16
¡He matado a mi marido!,"Hammond Entertainment, LLC",1836511,0,Mar,1 hr 48 min,Comedy,11
Cold Case Hammarskjöld,Magnolia Pictures,1828510,0,Aug,2 hr 8 min,Animation,15
Brittany Runs a Marathon,Amazon Studios,1807115,0,No,1 hr 44 min,Comedy,1033
Monty Python's Life of Brian,Trafalgar Releasing,1800547,0,Apr,1 hr 34 min,Comedy,125
Hampstead,IFC Films,1714112,0,Jun,1 hr 42 min,Comedy,18
Can You Ever Forgive Me?,Fox Searchlight Pictures,1615105,0,Oct,1 hr 46 min,Biography,555
Hold Your Breath,Entertainment One,1604612,0,Aug,1 hr 29 min,Drama,12
Rafiki,Film Movement,1601626,0,Apr,1 hr 23 min,Drama,26
Vox Lux,Neon,1557146,0,Dec,1 hr 54 min,Drama,325
Pain and Glory,Sony Pictures Classics,1526364,0,Oct,1 hr 53 min,Drama,266
The Lumber Baron,Indican Pictures,1505911,0,May,2 hr,Drama,11
The Day Shall Come,IFC Films,1485430,0,Sep,1 hr 27 min,Comedy,30
Trinity Seven The Movie 2: Heavens Library & Crimson Lord,Atlas Distribution Company,1485318,0,Mar,1 hr 3 min,Action,95
Memory: The Origins of Alien,Screen Media Films,1470419,0,Oct,1 hr 35 min,Documentary,19
Between Me and My Mind,Trafalgar Releasing,1461416,0,Jul,1 hr 40 min,Documentary,488
Gloria Bell,A24,1452185,0,No,1 hr 42 min,Comedy,1127
The Old Man & the Gun,Fox Searchlight Pictures,1421315,0,No,1 hr 33 min,Biography,1042
The Wind,IFC Films,1413830,0,Apr,1 hr 26 min,Horror,30
Fighting with My Family,Metro-Goldwyn-Mayer (MGM),1387804,0,No,1 hr 48 min,Biography,2855
The Image Book,Kino Lorber,1385433,0,Jan,1 hr 24 min,Drama,33
Waves,A24,1343334,0,Nov,2 hr 15 min,Drama,570
Luce,Neon,1329875,0,Aug,1 hr 49 min,Drama,235
Prassthanam,PackYourBag Films,1273732,0,Sep,2 hr 21 min,Action,32
Climax,A24,1194235,0,Mar,1 hr 37 min,Drama,217
Echo in the Canyon,Greenwich Entertainment,1176512,0,May,1 hr 22 min,Documentary,147
Out of Blue,IFC Films,1171935,0,Mar,1 hr 49 min,Crime,35
The Art of Self-Defense,Bleecker Street Media,1143747,0,Jul,1 hr 44 min,Comedy,550
Linda Ronstadt: The Sound of My Voice,Greenwich Entertainment,1132357,0,Sep,1 hr 35 min,Biography,247
The Biggest Little Farm,Neon,1104925,0,May,1 hr 31 min,Documentary,285
Midnight Diner,Well Go USA Entertainment,1086113,0,Sep,1 hr 43 min,Drama,13
Scandalous: The True Story of the National Enquirer,Magnolia Pictures,1083712,0,Nov,1 hr 37 min,Documentary,13
The Wife,Sony Pictures Classics,1082844,0,Aug,1 hr 39 min,Drama,541
Just Mercy,Warner Bros.,1078584,0,No,2 hr 17 min,Drama,2457
Little Joe,Magnolia Pictures,1062612,0,Dec,1 hr 45 min,Drama,12
Wildlife,IFC Films,1045894,0,Oct,1 hr 45 min,Drama,105
Swimming with Men,IFC Films,1033631,0,Dec,1 hr 36 min,Comedy,31
Dark Waters,Focus Features,1026064,0,No,2 hr 6 min,Biography,2112
Combat Obscura,Oscilloscope,1011210,0,Mar,1 hr 10 min,Documentary,11
High Life,A24,993414,0,Apr,1 hr 53 min,Adventure,146
Donnybrook,IFC Films,980280,0,Feb,1 hr 41 min,Drama,80
Light of My Life,Saban Films,935828,0,Aug,1 hr 59 min,Drama,68
